year,source_document,section_bucket,subsection,proposal_title,lead_agency,supporting_agencies,commitment_type,quantified,metric_or_target,implementation_pathway,notes,commitment_id,lead_agency_standardized,supporting_agencies_standardized,item_type_clean,implementation_pathway_clean,binary_evaluable,binary_unit,overlap_theme,status_evidence_needed,source_quality,continuity_to_prior_year,matched_prior_commitment_id,matched_prior_title,match_basis,commitment_text,source_page,source_page_end,text_capture_confidence
2022,2022StateoftheStateBook.pdf,Health care,Part I-A: Rebuild and Grow the Healthcare Workforce by 20% Over the Next Five Years,Make a $10 Billion Investment in Healthcare and Support Wages for Workers,,,funding/tax/benefit,yes,$10 Billion,mixed,First-pass coding from 2022 SOTS table of contents.,2022001,,,funding/tax/benefit,executive_budget,no,,health_care_general,"budget appropriation, program awards, or fiscal documents",first_pass_toc,,,,,"New York's essential healthcare workers have seen us through a once-in-a-century public health crisis and turned our state into a model for battling - and beating - COVID-19. But many of these workers are still earning a wage far below what they need to sustain a household and a fair quality of life.

To grow New York's healthcare workforce by 20 percent over the next 5 years, we must attract talented people into the profession at a time of such significant strain. And to do that - while also retaining those who have been working so tirelessly and heroically these past two years - we must treat our healthcare workforce with the dignity they deserve.

Simply put, we must build the healthcare system of tomorrow. To do that, Governor Hochul will make more than a $10 billion, multi-year investment in healthcare, including more than $4 billion to support wages and bonuses for healthcare workers. Key components of this multi-year investment include:

• $2 billion to support healthcare worker wages. • $2 billion to support healthcare and mental hygiene worker retention bonuses, with up to $3,000 bonuses going to full-time workers who remain in their positions for one year, and pro-rated bonuses for those working fewer hours. • $500 million for Cost of Living Adjustments (COLAs) to help raise wages for human services workers. • $2 billion for healthcare capital infrastructure and improved lab capacity. • Other investments in workforce and healthcare access and delivery.

New Yorkers owe an endless debt of gratitude to our healthcare workers for all they have given us. It is time we start to repay it in a meaningful way.",23,23,high
2022,2022StateoftheStateBook.pdf,Health care,Part I-A: Rebuild and Grow the Healthcare Workforce by 20% Over the Next Five Years,Increase the Training Capacity of Medical Institutions,,,staffing/workforce,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022002,,,staffing/workforce,mixed,no,,health_care_general,"implementation metrics, agency reports, or budget plus rollout evidence",first_pass_toc,,,,,"With their focus on delivering immediate care to New Yorkers, our state's medical institutions often lack the training capacity to focus on preparing the next generation of healthcare professionals. To support a steady pipeline of high-quality healthcare workers, Governor Hochul will increase the training capacity of medical institutions. This initiative will cover the costs of new programs, provide compensation to allow workers to train full-time support staff (who help free up existing staff do more training), and the development of new training techniques.",24,24,high
2022,2022StateoftheStateBook.pdf,Health care,Part I-A: Rebuild and Grow the Healthcare Workforce by 20% Over the Next Five Years,Attract Students into Healthcare by Relieving Their Financial Burdens,,,other,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022003,,,other,mixed,no,,health_care_general,agency report or official implementation evidence,first_pass_toc,,,,,"The average amount of student debt amassed by a person entering the healthcare industry in the U.S. is higher than any other industry at a staggering $72,800,4 discouraging many strong would-be professionals from entering the field in the first place. Governor Hochul will provide direct financial support for the education of healthcare professionals, provided that they work in New York State for a specified period after obtaining their credentials.

Governor Hochul's plan will offer free tuition, cover instructional costs for high- demand health occupations and provide stipends to make up for lost income while in school. It would also provide for wraparound services such as childcare or transportation support to eliminate obstacles that stand in the way of New Yorkers training for healthcare professions. Together these efforts will make it easier for many more talented New Yorkers to pursue a career in healthcare - and help meet the needs of our state.",24,24,high
2022,2022StateoftheStateBook.pdf,Health care,Part I-A: Rebuild and Grow the Healthcare Workforce by 20% Over the Next Five Years,Award Prior Learning Credit across SUNY and CUNY,SUNY,CUNY,other,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022004,SUNY,CUNY,other,mixed,no,,college_workforce_pathways,agency report or official implementation evidence,first_pass_toc,,,,,"Health and human services workers engage in significant on-the-ground learning through the direct care they provide, often before they pursue additional school training. But not every training program recognizes this work in the same way,

creating barriers to would-be professionals pursuing a health or human services career.

As part of the Governor's plan to make it easier for New Yorkers to move between college and career, the State University of New York (SUNY) and the City University of New York (CUNY) will adopt a consistent, statewide policy for crediting relevant prior learning and work experience, supporting credit accumulation, certifications, and post-secondary attainment.

While this program will benefit all students in SUNY and CUNY schools, it will be particularly meaningful for New Yorkers who have spent years working in the health and human services field and gaining invaluable experience on the job. Under this policy, it will be a far more seamless experience to return to school to gain the necessary credentials to move up the career ladder.",24,25,high
2022,2022StateoftheStateBook.pdf,Health care,Part I-A: Rebuild and Grow the Healthcare Workforce by 20% Over the Next Five Years,Recruit Medical Professionals to Work in Underserved Areas,SUNY,,staffing/workforce,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022005,SUNY,,staffing/workforce,mixed,no,,college_workforce_pathways,agency report or official implementation evidence,first_pass_toc,,,,,"Governor Hochul recognizes the need to recruit medical professionals to work in underserved areas, particularly in rural parts of the state, and to ensure a diverse healthcare workforce throughout the state. To achieve these goals, New York State will:

• Increase Funding for the Doctors Across New York Program: This proposal will provide loan forgiveness up to $120,000 for doctors who work in underserved areas for three years.

• Create a ""Nurses Across NY"" Program: Based on the successful Doctors Across NY program, this proposal will place nurses in underserved areas across the state.

• Expand the SUNY Pre-Medical Opportunity Program and the Diversity in Medicine Program: These programs will recruit and train a diverse healthcare workforce that represents the diversity of the patients in underserved communities to ensure health equity across the continuum of care.",25,26,high
2022,2022StateoftheStateBook.pdf,Health care,Part I-A: Rebuild and Grow the Healthcare Workforce by 20% Over the Next Five Years,Connect Immigrant New Yorkers to Direct Support Professions,,,other,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022006,,,other,executive_budget,no,,health_care_general,"budget appropriation, program awards, or fiscal documents",first_pass_toc,,,,,"The immigrant labor pool is often unemployed or underemployed due to the adversity faced in obtaining recognition for foreign education or credentials in the U.S. Skilled immigrant New Yorkers may have professional credentials, but a licensing board may be unable to translate foreign education to the board's requirements.

State agencies will work with external partners to develop an apprenticeship job training program that provides new and existing immigrant workers with a career pathway in the workforce - addressing the gap in immigrant employment while filling more urgently needed direct support professions.",26,26,high
2022,2022StateoftheStateBook.pdf,Health care,Part I-A: Rebuild and Grow the Healthcare Workforce by 20% Over the Next Five Years,Allow Doctors and Nurses to Easily Relocate to and Practice in New York,,,other,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022007,,,other,mixed,yes,authorized,health_care_general,"executive order, agency launch, or official announcement",first_pass_toc,,,,,"Inconsistent professional licensing requirements across states can create barriers for doctors or nurses wishing to relocate to and practice in New York. To reduce these obstacles, Governor Hochul will propose legislation for New York to join the Interstate Medical Licensure Compact and the Nurse Licensure Compact. Joining these compacts will enable doctors and nurses to relocate to New York and use their existing license to more quickly be able to practice in the state through telehealth or otherwise, attracting more healthcare workers at a time of great need. This practice was temporarily allowed by Executive Order during the COVID-19 pandemic and resulted in greater availability of qualified healthcare professionals in New York.",26,26,high
2022,2022StateoftheStateBook.pdf,Health care,Part I-A: Rebuild and Grow the Healthcare Workforce by 20% Over the Next Five Years,Expand Workforce Development Partnerships to Build a Human Services Talent Pipeline,SUNY,,capital/infrastructure,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022008,SUNY,,capital/infrastructure,mixed,no,,college_workforce_pathways,"implementation metrics, agency reports, or budget plus rollout evidence",first_pass_toc,,,,,"To further strengthen the human services talent pipeline, Governor Hochul will use federal funds to expand two successful workforce development programs:

• Expand the Direct Support Professional Career and Technical Education Program: Currently, the Office for People with Developmental Disabilities (OPWDD) partners with the Capital Region Boards of Cooperative Educational Services (BOCES) to offer high school students the opportunity to become direct care workers through the Direct Support Professional Career and Technical Education program. Governor Hochul will expand this successful program to other BOCES statewide and direct the human services agencies to collaborate with BOCES to establish programs for all direct care workers.

• Expand the SUNY for All Partnership with OPWDD: SUNY for All is a free training tool for direct support professionals to enhance their skills and help them enter, or advance, in the health and human services field. This proposal would expand the SUNY for All partnership to all 10 SUNY Educational Opportunity Centers statewide and create opportunities for all direct care workers.",27,27,high
2022,2022StateoftheStateBook.pdf,Health care,Part I-A: Rebuild and Grow the Healthcare Workforce by 20% Over the Next Five Years,Grow the Home and Community-Based Health Care Workforce Through Benefits and Skills Development,,,staffing/workforce,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022009,,,staffing/workforce,mixed,no,,disability_inclusion,agency report or official implementation evidence,first_pass_toc,,,,,"The need for home healthcare workers in New York is estimated to grow by roughly 65 percent by 2028, the most of any healthcare occupation. The American Rescue Plan Act (ARPA) provided significant funding for states to invest in their home and community-based health care systems. Under Governor Hochul's leadership, New York State has applied to the Federal government to spend $2. billion on 14 initiatives to strengthen our care workforce. These include:

• Home Care Workforce Initiative: Enables home care agencies to implement evidence-based programs that help them to recruit, retain, train, and support their direct care workers.

• Workforce Transportation Incentive: Solves transportation-related barriers related to home care worker recruitment and/or retention.

• Retention Incentives for the Intellectual or Developmental Disabilities Workforce: Provides longevity and retention incentives to direct support professionals.

• Direct Support Professional Workforce Development Grants: Provides skills development for direct support professionals.

• Workforce Recruitment Initiative: Implements data-driven strategies for effective recruitment of workers for OPWDD.

• Community Residence Program: Increases funding for rising direct care staff costs.",27,28,high
2022,2022StateoftheStateBook.pdf,Health care,Part I-B: Retain the Existing Healthcare Workforce,Support More Career Flexibility for Direct Care Workers,,,other,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022010,,,other,mixed,no,,aging_long_term_care,"implementation metrics, agency reports, or budget plus rollout evidence",first_pass_toc,,,,,"Long-term care workers often face barriers to moving across caregiving roles. For example, certified nursing assistants are not allowed to administer medication in long-term care facilities, even if they have sufficient training or experience. Such rules make it harder for health workers to take new jobs and make it harder for facilities to fill open roles.

This initiative will facilitate the creation of a model for training ""universal"" long- term care workers who want to move across caregiving roles, ensuring that long- term care providers experiencing extreme workforce shortages can obtain and deploy trained workers in a timely and efficient manner.",29,29,high
